Song,Artist,Country,Year,Language,Grand Final Place,Grand Final Points,Semifinal,Semifinal Place,Semifinal Points
Refrain,Lys Assia,Switzerland,1956,French,1,N/A,No Semifinal,N/A,N/A
Amami se vuoi,Tonina Torrielli,Italy,1956,Italian,N/A,N/A,No Semifinal,N/A,N/A
Aprite le finestre,Franca Raimondi,Italy,1956,Italian,N/A,N/A,No Semifinal,N/A,N/A
Das alte Karussell,Lys Assia,Switzerland,1956,German,N/A,N/A,No Semifinal,N/A,N/A
De vogels van Holland,Jetty Paerl,Netherlands,1956,Dutch,N/A,N/A,No Semifinal,N/A,N/A
Il est là,Danny Dauberson,France,1956,French,N/A,N/A,No Semifinal,N/A,N/A
Im Wartesaal zum großen Glück,Walter Andreas Schwarz,Germany,1956,German,N/A,N/A,No Semifinal,N/A,N/A
Le plus beau jour de ma vie,Mony Marc,Belgium,1956,French,N/A,N/A,No Semifinal,N/A,N/A
Le temps perdu,Mathé Altéry,France,1956,French,N/A,N/A,No Semifinal,N/A,N/A
Les amants de minuit,Michèle Arnaud,Luxembourg,1956,French,N/A,N/A,No Semifinal,N/A,N/A
Messieurs les noyés de la Seine,Fud Leclerc,Belgium,1956,French,N/A,N/A,No Semifinal,N/A,N/A
Ne crois pas,Michèle Arnaud,Luxembourg,1956,French,N/A,N/A,No Semifinal,N/A,N/A
So geht das jede Nacht,Freddy Quinn,Germany,1956,German,N/A,N/A,No Semifinal,N/A,N/A
Voorgoed voorbij,Corry Brokken,Netherlands,1956,Dutch,N/A,N/A,No Semifinal,N/A,N/A
Net als toen,Corry Brokken,Netherlands,1957,Dutch,1,31,No Semifinal,N/A,N/A
La belle amour,Paule Desjardins,France,1957,French,2,17,No Semifinal,N/A,N/A
Skibet skal sejle i nat,Birthe Wilke & Gustav Winckler,Denmark,1957,Danish,3,10,No Semifinal,N/A,N/A
Amours mortes (tant de peine),Danièle Dupré,Luxembourg,1957,French,4,8,No Semifinal,N/A,N/A
"Telefon, Telefon",Margot Hielscher,Germany,1957,German,4,8,No Semifinal,N/A,N/A
Corde della mia chitarra,Nunzio Gallo,Italy,1957,Italian,6,7,No Semifinal,N/A,N/A
All,Patricia Bredin,United Kingdom,1957,English,7,6,No Semifinal,N/A,N/A
L'enfant que j'étais,Lys Assia,Switzerland,1957,French,8,5,No Semifinal,N/A,N/A
Straatdeuntje,Bobbejaan Schoepen,Belgium,1957,Dutch,8,5,No Semifinal,N/A,N/A
"Wohin, kleines Pony?",Bob Martin,Austria,1957,German,10,3,No Semifinal,N/A,N/A
"Dors, mon amour",André Claveau,France,1958,French,1,27,No Semifinal,N/A,N/A
Giorgio,Lys Assia,Switzerland,1958,"German, Italian",2,24,No Semifinal,N/A,N/A
Nel blu dipinto di blu,Domenico Modugno,Italy,1958,Italian,3,13,No Semifinal,N/A,N/A
Lilla stjärna,Alice Babs,Sweden,1958,Swedish,4,10,No Semifinal,N/A,N/A
Die ganze Welt braucht Liebe,Liane Augustin,Austria,1958,German,5,8,No Semifinal,N/A,N/A
Ma petite chatte,Fud Leclerc,Belgium,1958,French,5,8,No Semifinal,N/A,N/A
Für zwei Groschen Musik,Margot Hielscher,Germany,1958,German,7,5,No Semifinal,N/A,N/A
Jeg rev et blad ud af min dagbog,Raquel Rastenni,Denmark,1958,Danish,8,3,No Semifinal,N/A,N/A
Heel de wereld,Corry Brokken,Netherlands,1958,Dutch,9,1,No Semifinal,N/A,N/A
Un grand amour,Solange Berry,Luxembourg,1958,French,9,1,No Semifinal,N/A,N/A
Een beetje,Teddy Scholten,Netherlands,1959,Dutch,1,21,No Semifinal,N/A,N/A
"Sing, Little Birdie",Pearl Carr & Teddy Johnson,United Kingdom,1959,English,2,16,No Semifinal,N/A,N/A
"Oui, oui, oui, oui",Jean Philippe,France,1959,French,3,15,No Semifinal,N/A,N/A
Irgendwoher,Christa Williams,Switzerland,1959,German,4,14,No Semifinal,N/A,N/A
"Uh, jeg ville ønske jeg var dig",Birthe Wilke,Denmark,1959,Danish,5,12,No Semifinal,N/A,N/A
Hou toch van mij,Bob Benny,Belgium,1959,Dutch,6,9,No Semifinal,N/A,N/A
"Piove (Ciao, ciao bambina)",Domenico Modugno,Italy,1959,Italian,6,9,No Semifinal,N/A,N/A
Heute Abend wollen wir tanzen geh'n,Alice & Ellen Kessler,Germany,1959,German,8,5,No Semifinal,N/A,N/A
Augustin,Brita Borg,Sweden,1959,Swedish,9,4,No Semifinal,N/A,N/A
Der K und K Kalypso aus Wien,Ferry Graf,Austria,1959,German,9,4,No Semifinal,N/A,N/A
Mon ami Pierrot,Jacques Pills,Monaco,1959,French,11,1,No Semifinal,N/A,N/A
Tom Pillibi,Jacqueline Boyer,France,1960,French,1,32,No Semifinal,N/A,N/A
"Looking High, High, High",Bryan Johnson,United Kingdom,1960,English,2,25,No Semifinal,N/A,N/A
Ce soir-là,François Deguelt,Monaco,1960,French,3,15,No Semifinal,N/A,N/A
Bonne nuit ma chérie,Wyn Hoop,Germany,1960,German,4,11,No Semifinal,N/A,N/A
Voi Voi,Nora Brockstedt,Norway,1960,Norwegian,4,11,No Semifinal,N/A,N/A
Mon amour pour toi,Fud Leclerc,Belgium,1960,French,6,9,No Semifinal,N/A,N/A
Du hast mich so fasziniert,Harry Winter,Austria,1960,German,7,6,No Semifinal,N/A,N/A
Cielo e terra,Anita Traversi,Switzerland,1960,Italian,8,5,No Semifinal,N/A,N/A
Romantica,Renato Rascel,Italy,1960,Italian,8,5,No Semifinal,N/A,N/A
Alla andra får varann,Siw Malmkvist,Sweden,1960,Swedish,10,4,No Semifinal,N/A,N/A
Det var en yndig tid,Katy Bødtger,Denmark,1960,Danish,10,4,No Semifinal,N/A,N/A
Wat een geluk,Rudi Carrell,Netherlands,1960,Dutch,12,2,No Semifinal,N/A,N/A
So laang we's du do bast,Camillo Felgen,Luxembourg,1960,Luxembourgish,13,1,No Semifinal,N/A,N/A
Nous les amoureux,Jean-Claude Pascal,Luxembourg,1961,French,1,31,No Semifinal,N/A,N/A
Are You Sure?,The Allisons,United Kingdom,1961,English,2,24,No Semifinal,N/A,N/A
Nous aurons demain,Franca di Rienzo,Switzerland,1961,French,3,16,No Semifinal,N/A,N/A
"Printemps, avril carillonne",Jean-Paul Mauric,France,1961,French,4,13,No Semifinal,N/A,N/A
Al di là,Betty Curtis,Italy,1961,Italian,5,12,No Semifinal,N/A,N/A
Angelique,Dario Campeotto,Denmark,1961,Danish,5,12,No Semifinal,N/A,N/A
Sommer i Palma,Nora Brockstedt,Norway,1961,Norwegian,7,10,No Semifinal,N/A,N/A
Neke davne zvezde (Неке давне звезде),Ljiljana Petrović,Yugoslavia,1961,Serbo-Croatian,8,9,No Semifinal,N/A,N/A
Estando contigo,Conchita Bautista,Spain,1961,Spanish,9,8,No Semifinal,N/A,N/A
"Allons, allons les enfants",Colette Deréal,Monaco,1961,French,10,6,No Semifinal,N/A,N/A
Valoa ikkunassa,Laila Kinnunen,Finland,1961,Finnish,10,6,No Semifinal,N/A,N/A
Wat een dag,Greetje Kauffeld,Netherlands,1961,Dutch,10,6,No Semifinal,N/A,N/A
Einmal sehen wir uns wieder,Lale Andersen,Germany,1961,"German, French",13,3,No Semifinal,N/A,N/A
"April, april",Lill-Babs,Sweden,1961,Swedish,14,2,No Semifinal,N/A,N/A
Sehnsucht,Jimmy Makulis,Austria,1961,German,15,1,No Semifinal,N/A,N/A
"September, gouden roos",Bob Benny,Belgium,1961,Dutch,15,1,No Semifinal,N/A,N/A
Un premier amour,Isabelle Aubret,France,1962,French,1,26,No Semifinal,N/A,N/A
Dis rien,François Deguelt,Monaco,1962,French,2,13,No Semifinal,N/A,N/A
Petit bonhomme,Camillo Felgen,Luxembourg,1962,French,3,11,No Semifinal,N/A,N/A
Ne pali svetla u sumrak (Не пали светла у сумрак),Lola Novaković,Yugoslavia,1962,Serbo-Croatian,4,10,No Semifinal,N/A,N/A
Ring-A-Ding Girl,Ronnie Carroll,United Kingdom,1962,English,4,10,No Semifinal,N/A,N/A
Zwei kleine Italiener,Conny Froboess,Germany,1962,German,6,9,No Semifinal,N/A,N/A
Sol och vår,Inger Berggren,Sweden,1962,Swedish,7,4,No Semifinal,N/A,N/A
Tipi-tii,Marion Rung,Finland,1962,Finnish,7,4,No Semifinal,N/A,N/A
"Addio, addio",Claudio Villa,Italy,1962,Italian,9,3,No Semifinal,N/A,N/A
"Kom sol, kom regn",Inger Jacobsen,Norway,1962,Norwegian,10,2,No Semifinal,N/A,N/A
Le retour,Jean Philippe,Switzerland,1962,French,10,2,No Semifinal,N/A,N/A
Vuggevise,Ellen Winther,Denmark,1962,Danish,10,2,No Semifinal,N/A,N/A
Katinka,De Spelbrekers,Netherlands,1962,Dutch,13,0,No Semifinal,N/A,N/A
Llámame,Victor Balaguer,Spain,1962,Spanish,13,0,No Semifinal,N/A,N/A
Nur in der Wiener Luft,Eleonore Schwarz,Austria,1962,German,13,0,No Semifinal,N/A,N/A
Ton nom,Fud Leclerc,Belgium,1962,French,13,0,No Semifinal,N/A,N/A
Dansevise,Grethe & Jørgen Ingmann,Denmark,1963,Danish,1,42,No Semifinal,N/A,N/A
T'en va pas,Esther Ofarim,Switzerland,1963,French,2,40,No Semifinal,N/A,N/A
Uno per tutte,Emilio Pericoli,Italy,1963,Italian,3,37,No Semifinal,N/A,N/A
Say Wonderful Things,Ronnie Carroll,United Kingdom,1963,English,4,28,No Semifinal,N/A,N/A
Elle était si jolie,Alain Barrière,France,1963,French,5,25,No Semifinal,N/A,N/A
L'amour s'en va,Françoise Hardy,Monaco,1963,French,5,25,No Semifinal,N/A,N/A
Vielleicht geschieht ein Wunder,Carmela Corren,Austria,1963,"German, English",7,16,No Semifinal,N/A,N/A
À force de prier,Nana Mouskouri,Luxembourg,1963,French,8,13,No Semifinal,N/A,N/A
Marcel,Heidi Brühl,Germany,1963,German,9,5,No Semifinal,N/A,N/A
Waarom?,Jacques Raymond,Belgium,1963,Dutch,10,4,No Semifinal,N/A,N/A
Brodovi,Vice Vukov,Yugoslavia,1963,Serbo-Croatian,11,3,No Semifinal,N/A,N/A
Algo prodigioso,José Guardiola,Spain,1963,Spanish,12,2,No Semifinal,N/A,N/A
Een speeldoos,Annie Palmen,Netherlands,1963,Dutch,13,0,No Semifinal,N/A,N/A
En gång i Stockholm,Monica Zetterlund,Sweden,1963,Swedish,13,0,No Semifinal,N/A,N/A
Muistojeni laulu,Laila Halme,Finland,1963,Finnish,13,0,No Semifinal,N/A,N/A
Solhverv,Anita Thallaug,Norway,1963,Norwegian,13,0,No Semifinal,N/A,N/A
Non ho l'età,Gigliola Cinquetti,Italy,1964,Italian,1,49,No Semifinal,N/A,N/A
I Love the Little Things,Matt Monro,United Kingdom,1964,English,2,17,No Semifinal,N/A,N/A
Où sont-elles passées,Romuald,Monaco,1964,French,3,15,No Semifinal,N/A,N/A
Dès que le printemps revient,Hugues Aufray,Luxembourg,1964,French,4,14,No Semifinal,N/A,N/A
Le chant de Mallory,Rachel,France,1964,French,4,14,No Semifinal,N/A,N/A
"Warum nur, warum?",Udo Jürgens,Austria,1964,German,6,11,No Semifinal,N/A,N/A
Laiskotellen,Lasse Mårtenson,Finland,1964,Finnish,7,9,No Semifinal,N/A,N/A
Spiral,Arne Bendiksen,Norway,1964,Norwegian,8,6,No Semifinal,N/A,N/A
Sangen om dig,Bjørn Tidmand,Denmark,1964,Danish,9,4,No Semifinal,N/A,N/A
Jij bent mijn leven,Anneke Grönloh,Netherlands,1964,Dutch,10,2,No Semifinal,N/A,N/A
Près de ma rivière,Robert Cogoi,Belgium,1964,French,10,2,No Semifinal,N/A,N/A
Caracola,Los TNT,Spain,1964,Spanish,12,1,No Semifinal,N/A,N/A
I miei pensieri,Anita Traversi,Switzerland,1964,Italian,13,0,No Semifinal,N/A,N/A
Man gewöhnt sich so schnell an das Schöne,Nora Nova,Germany,1964,German,13,0,No Semifinal,N/A,N/A
Oração,António Calvário,Portugal,1964,Portuguese,13,0,No Semifinal,N/A,N/A
Život je sklopio krug,Sabahudin Kurt,Yugoslavia,1964,Serbo-Croatian,13,0,No Semifinal,N/A,N/A
"Poupée de cire, poupée de son",France Gall,Luxembourg,1965,French,1,32,No Semifinal,N/A,N/A
I Belong,Kathy Kirby,United Kingdom,1965,English,2,26,No Semifinal,N/A,N/A
N'avoue jamais,Guy Mardel,France,1965,French,3,22,No Semifinal,N/A,N/A
"Sag ihr, ich lass sie grüßen",Udo Jürgens,Austria,1965,German,4,16,No Semifinal,N/A,N/A
"Se piangi, se ridi",Bobby Solo,Italy,1965,Italian,5,15,No Semifinal,N/A,N/A
Walking the Streets in the Rain,Butch Moore,Ireland,1965,English,6,11,No Semifinal,N/A,N/A
For din skyld,Birgit Brüel,Denmark,1965,Danish,7,10,No Semifinal,N/A,N/A
"Non, à jamais sans toi",Yovanna,Switzerland,1965,French,8,8,No Semifinal,N/A,N/A
Va dire à l'amour,Marjorie Noël,Monaco,1965,French,9,7,No Semifinal,N/A,N/A
Absent Friend,Ingvar Wixell,Sweden,1965,English,10,6,No Semifinal,N/A,N/A
Het is genoeg,Conny van den Bos,Netherlands,1965,Dutch,11,5,No Semifinal,N/A,N/A
Čežnja,Vice Vukov,Yugoslavia,1965,Serbo-Croatian,12,2,No Semifinal,N/A,N/A
Karusell,Kirsti Sparboe,Norway,1965,Norwegian,13,1,No Semifinal,N/A,N/A
Sol de inverno,Simone de Oliveira,Portugal,1965,Portuguese,13,1,No Semifinal,N/A,N/A
"¡Qué bueno, qué bueno!",Conchita Bautista,Spain,1965,Spanish,15,0,No Semifinal,N/A,N/A
Als het weer lente is,Lize Marke,Belgium,1965,Dutch,15,0,No Semifinal,N/A,N/A
Aurinko laskee länteen,Viktor Klimenko,Finland,1965,Finnish,15,0,No Semifinal,N/A,N/A
"Paradies, wo bist du?",Ulla Wiesner,Germany,1965,German,15,0,No Semifinal,N/A,N/A
"Merci, Chérie",Udo Jürgens,Austria,1966,German,1,31,No Semifinal,N/A,N/A
Nygammal vals,Lill Lindfors & Svante Thuresson,Sweden,1966,Swedish,2,16,No Semifinal,N/A,N/A
Intet er nytt under solen,Åse Kleveland,Norway,1966,Norwegian,3,15,No Semifinal,N/A,N/A
Come Back to Stay,Dickie Rock,Ireland,1966,English,4,14,No Semifinal,N/A,N/A
"Un peu de poivre, un peu de sel",Tonia,Belgium,1966,French,4,14,No Semifinal,N/A,N/A
Ne vois-tu pas?,Madeleine Pascal,Switzerland,1966,French,6,12,No Semifinal,N/A,N/A
Brez besed,Berta Ambrož,Yugoslavia,1966,Slovene,7,9,No Semifinal,N/A,N/A
Yo soy aquél,Raphael,Spain,1966,Spanish,7,9,No Semifinal,N/A,N/A
A Man Without Love,Kenneth McKellar,United Kingdom,1966,English,9,8,No Semifinal,N/A,N/A
Ce soir je t'attendais,Michèle Torr,Luxembourg,1966,French,10,7,No Semifinal,N/A,N/A
Die Zeiger der Uhr,Margot Eskens,Germany,1966,German,10,7,No Semifinal,N/A,N/A
Playboy,Ann Christine,Finland,1966,Finnish,10,7,No Semifinal,N/A,N/A
Ele e ela,Madalena Iglésias,Portugal,1966,Portuguese,13,6,No Semifinal,N/A,N/A
Stop – mens legen er go',Ulla Pia,Denmark,1966,Danish,14,4,No Semifinal,N/A,N/A
Fernando en Filippo,Milly Scott,Netherlands,1966,Dutch,15,2,No Semifinal,N/A,N/A
Chez nous,Dominique Walter,France,1966,French,16,1,No Semifinal,N/A,N/A
